"","mz","Pearson","cosine","delta_RT"
"para",805.578074523151,-0.2148705889624,0.850654858217689,1.79300000000001
"para",803.628951518174,0.441613391276557,0.895926825118137,0.754999999999995
"para",715.575372620198,0.167502043820625,0.875652935776526,0.0919999999999845
"para",392.262905916156,0.441658378025875,0.768249156940176,1.178
"para",235.973330296146,-0.477263891347287,0.747873446714095,2.024
"para",388.342106935395,0.246248479573254,0.868948388527823,0.518000000000029
"para",821.59815530617,-0.419228692070324,0.852107343486665,1.36900000000003
"para",317.211536783605,0.713601391094659,0.934492153088658,0.754999999999995
"para",771.570994874416,-0.159418425565174,0.794333442470281,1.178
"para",394.295904143614,-0.0168748074087971,0.809583377022606,0.942999999999984
"para",237.185716161173,0.12054456983852,0.707650251974199,2.024
"para",832.605582449126,-0.0689693355147297,0.863571268123025,0.754999999999995
"para",719.956716071957,0.788421839213614,0.886643348494622,0.754999999999995
"para",746.559002190835,0.40518219146205,0.894792348212427,0.754999999999995
"para",473.282140476744,-0.617752312313721,0.61196040507949,1.79300000000001
"para",282.25102715177,0.524469082053822,0.90819342500301,0.754999999999995
"para",298.246415906653,0.515570269186782,0.908237158125206,2.024
"para",842.591299237953,-0.62041209487412,0.836224703841511,1.79300000000001
"para",347.258789693863,-0.456963517104811,0.612076429408492,1.79300000000001
"para",794.546511061589,-0.262547576048139,0.522360048156397,1.79300000000001
"para",763.587468610735,-0.165814941932994,0.792324665139569,2.024
"para",327.253533008533,0.374811279472667,0.891395950841805,0.518000000000029
"para",860.60132431621,-0.213301234432931,0.848998863399877,0.518000000000029
"para",888.589291293235,0.178534366411032,0.876173338822182,0.754999999999995
"para",311.222374809378,0.102777868220327,0.858475826268381,1.79300000000001
"para",241.216617520123,-0.144939525139773,0.808447375508456,1.36900000000003
"para",271.227106833367,0.574778744226339,0.91577456727655,0.331999999999994
"para",425.289681213909,0.780349899342549,0.947319910982921,0.754999999999995
"para",522.319338988223,0.489015887669889,0.900470783030813,2.024
"para",279.138564834649,0.757479237493367,0.947794984808739,0.754999999999995
"para",330.251377696644,-0.0794989279445032,0.672334804095869,2.024
"para",743.541449039395,-0.280525294081257,0.786602116420856,1.79300000000001
"para",206.162940542923,-0.0472077905668167,0.736573290797048,0.518000000000029
"para",812.002292454136,0.892782400764382,0.957488462263707,0.754999999999995
"para",426.260084393651,0.639049212315297,0.908844288901057,0.331999999999994
"para",831.594092194173,0.700657283911053,0.90778529426969,1.178
"para",293.211497141975,0.707573028643005,0.931105633946845,0.754999999999995
"para",416.975933083325,-0.00125900047537738,0.568948566535346,2.024
"para",212.173415564956,0.65704236079299,0.919290238959681,0.754999999999995
"para",257.211553636805,0.481883082715951,0.896853006062773,1.178
"para",337.310832741485,0.681036030093227,0.932206186493828,0.754999999999995
