,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample,KM,NKM,KMD,AKMD
CP6687,214.1891575,214.1887241,214.1892106,632.819,628.194,636.999,55154809.36,53211576.39,14831817,23,1,214.2028664,214,-0.202866442,0.797133558
CP0181,214.9628988,214.9628012,214.9633029,65.2737,63.8987,68.9751,196263.245,189809.2683,131457.9219,15,1,214.9766573,215,0.023342713,1.023342713
CP0623,215.0011457,215.0011348,215.0011559,157.382,155.988,158.774,116172.5633,116170.2417,62485.83984,62485,1,215.0149067,215,-0.014906657,0.985093343
CP2773,215.0016951,215.0015298,215.0021462,333.548,330.304,335.862,545866.9467,545861.8518,242031.3438,242030,1,215.0154561,215,-0.015456067,0.984543933
CP7753,215.0120385,215.0120358,215.0120424,668.078,666.828,670.578,1610935.742,1599218.883,1254791,20,1,215.0258001,215,-0.025800148,0.974199852
CP1138,215.0347412,215.0347314,215.0347457,205.182,203.329,206.574,172941.3279,172938.5465,93842.83594,93842,1,215.0485043,215,-0.04850427,0.95149573
CP1192,215.0380307,215.0379255,215.0380851,208.896,207.503,210.751,229209.2675,229206.4835,116442.2734,116441,1,215.0517941,215,-0.051794058,0.948205942
CP2509,215.0512587,215.0508265,215.0513282,295.997,291.358,300.636,969636.354,892372.5463,206622.875,14,1,215.0650228,215,-0.065022832,0.934977168
CP0947,215.0923337,215.0920184,215.0925918,186.171,182.004,190.345,755873.3839,514753.0513,260504.2969,12,1,215.1061005,215,-0.106100462,0.893899538
CP1964,215.1284723,215.1283265,215.1285051,237.621,233.448,241.79,7710627.368,7309135.935,3301985.75,175,1,215.1422414,215,-0.142241401,0.857758599
CP5982,215.1285105,215.1284343,215.1285645,613.422,611.306,617.233,2158468.387,2011527.153,1094252.75,15,1,215.1422796,215,-0.142279579,0.857720421
CP5970,215.1800935,215.1800626,215.1801193,614.267,612.576,615.537,425915.8117,425913.6967,316665.9063,316665,1,215.193866,215,-0.193865952,0.806134048
CP6561,215.1924327,215.1923881,215.1925579,632.819,629.877,635.748,2638074.55,2638069.518,1110786.25,1110785,1,215.2062059,215,-0.20620591,0.79379409
CP0571,216.0332152,216.0329615,216.0339343,142.517,139.73,144.838,327663.1091,327658.4655,116513.5781,116513,1,216.0470422,216,-0.047042227,0.952957773
CP1735,216.0696695,216.0695979,216.0697352,236.694,234.839,238.083,290168.9282,288519.9019,170547.9375,26,1,216.0834989,216,-0.083498865,0.916501135
CP1110,216.0696738,216.069666,216.06968,203.792,202.402,205.182,146742.3742,144974.7597,86834.74219,20,1,216.0835031,216,-0.083503143,0.916496857
CP0975,216.0696956,216.0696641,216.0697308,193.593,191.738,195.912,457310.5389,445018.0426,229220.8281,16,1,216.083525,216,-0.083524951,0.916475049
CP1761,216.1318515,216.1316191,216.1321592,237.621,233.448,240.863,862081.8792,854929.7018,393198.5313,62,1,216.1456848,216,-0.145684844,0.854315156
CP0253,216.9248434,216.9245319,216.9249945,66.1949,63.8987,73.6196,445225.1399,409500.6779,218057.0625,18,1,216.9387275,217,0.061272511,1.061272511
CP0774,216.9921806,216.9921248,216.9922309,181.075,179.683,182.468,224409.5813,224407.2605,143058.875,143058,1,217.0060689,217,-0.006068946,0.993931054
CP4801,217.0026938,217.0026662,217.0027505,65.2737,61.3726,69.4389,17413634.32,16404621.54,3383353.5,33,1,217.0165829,217,-0.01658291,0.98341709
CP8595,217.0027041,217.0026838,217.0027266,689.008,687.689,690.759,957616.3857,957613.8273,517004.3438,517003,1,217.0165932,217,-0.016593206,0.983406794
CP0506,217.0171622,217.0170653,217.0175963,95.9443,93.6147,98.7392,304918.4075,304913.7489,106926.2891,106925,1,217.0310522,217,-0.031052201,0.968947799
CP0752,217.0171707,217.0170807,217.0175562,178.291,176.896,179.683,81514.43637,81512.11387,64164.44922,64163,1,217.0310607,217,-0.031060667,0.968939333
CP0965,217.0731583,217.0727521,217.0732465,193.593,192.666,194.985,65689.51947,65687.66427,45506.59375,45506,1,217.0870519,217,-0.087051866,0.912948134
CP4070,217.0866688,217.0866682,217.0866702,507.089,505.705,508.008,79334.68769,79332.84529,66480.40625,66479,1,217.1005632,217,-0.100563232,0.899436768
CP3911,217.0979737,217.0976807,217.0982646,492.648,489.875,496.679,422869.322,417020.4836,159382.1406,28,1,217.1118688,217,-0.111868823,0.888131177
CP1030,217.1078059,217.1077499,217.1078696,181.075,173.178,186.631,3041327.259,2909729.884,452504.6875,27,1,217.1217017,217,-0.121701688,0.878298312
CP4717,217.1229092,217.1226844,217.1232668,542.159,526.152,556.848,3250140.675,2899801.154,532820.5625,15,1,217.136806,217,-0.136805981,0.863194019
CP0540,217.123165,217.1231614,217.1231687,124.377,123.447,125.775,44221.59038,44219.72798,29852.54492,29852,1,217.1370618,217,-0.137061774,0.862938226
CP5381,217.1592052,217.1591528,217.1592572,582.37,580.669,584.073,3032070.33,3013369.891,1503440.125,38,1,217.1731043,217,-0.173104308,0.826895692
CP8596,217.9600752,217.9596495,217.960168,688.569,683.735,690.759,6214722.26,6149470.41,1965207.125,42,1,217.9740255,218,0.025974499,1.025974499
CP3656,217.9600948,217.9600388,217.9601374,64.8168,61.3726,69.9022,9649937.556,8135827.016,2139528.5,20,1,217.9740451,218,0.025954864,1.025954864
CP0444,218.0125615,218.0122635,218.012766,77.3385,73.1539,78.7324,141812.6737,139588.5744,61866.19141,13,1,218.0265152,218,-0.026515202,0.973484798
CP0582,218.048951,218.0488109,218.0490073,146.23,143.91,148.552,244944.1456,244939.9678,110209.1563,110208,1,218.062907,218,-0.062907018,0.937092982
CP2911,218.0945141,218.0944353,218.0949288,353.004,348.836,356.244,235114.3788,233014.2665,89842.95313,28,1,218.1084731,218,-0.108473058,0.891526942
CP1978,218.1546393,218.1543945,218.1548943,253.83,251.977,255.681,214240.3294,214237.0884,121609.2969,121608,1,218.1686021,218,-0.168602096,0.831397904
CP2087,218.1547773,218.1543904,218.1548809,261.24,258.923,262.629,181841.1104,180575.7649,88623.86719,21,1,218.1687401,218,-0.1687401,0.8312599
CP5356,218.1626022,218.1625937,218.1626162,581.946,580.242,583.24,468449.3247,468447.1833,305291.0938,305290,1,218.1765655,218,-0.176565523,0.823434477
CP4802,218.9579277,218.9578813,218.9588214,65.7332,61.3726,74.0836,31732944.31,28068943.53,4959539,33,1,218.9719419,219,0.028058082,1.028058082
CP8597,218.9579788,218.9579138,218.9581061,688.569,684.17,690.759,12287102.49,12229408.22,4537962,104,1,218.971993,219,0.028007024,1.028007024
CP2890,218.9859693,218.9856301,218.986135,343.274,338.642,348.372,1025139.948,721627.1788,263586.25,12,1,218.9999853,219,1.47E-05,1.000014674
CP1265,218.9859714,218.9856266,218.9861752,208.431,202.402,214.001,5377651.094,5116039.959,2577071.5,118,1,218.9999874,219,1.26E-05,1.000012648
CP2025,219.0214892,219.0211739,219.0216294,257.07,254.757,259.386,1078631.635,1078627.469,474515.125,474514,1,219.0355075,219,-0.035507472,0.964492528
CP3774,219.0216277,219.0216242,219.0216323,483.236,481.846,484.62,152828.3938,152826.0821,95425.50781,95425,1,219.035646,219,-0.035645969,0.964354031
CP0807,219.0328153,219.0326897,219.032871,183.862,182.004,186.631,383654.2569,377906.6277,192920.5313,24,1,219.0468343,219,-0.046834322,0.953165678
CP0954,219.0693191,219.069314,219.0693303,192.666,191.273,194.056,190377.2191,190374.9,126168.9531,126168,1,219.0833405,219,-0.083340472,0.916659528
CP5189,219.1384959,219.1384243,219.1388677,567.455,563.618,571.286,6854016.766,6198498.086,2532877,24,1,219.1525217,219,-0.152521693,0.847478307
CP4440,219.1385995,219.1384158,219.1389054,519.939,515.885,524.402,5336068.826,4858058.757,1689328.5,36,1,219.1526253,219,-0.152625317,0.847374683
CP0056,219.1751038,219.1749341,219.1762644,63.4358,61.3726,64.8168,344923.6009,327817.9836,194671.4844,14,1,219.1891319,219,-0.189131936,0.810868064
CP0651,219.9464685,219.9464102,219.9469367,158.31,156.453,161.098,649006.6061,649002.4256,347771.4375,347770,1,219.960546,220,0.03945404,1.03945404
CP8598,219.9553565,219.955243,219.9557564,689.008,687.249,690.759,1526436.666,1526433.658,858311.625,858311,1,219.9694346,220,0.030565407,1.030565407
CP0823,219.9557571,219.9557061,219.9558013,64.8168,61.3726,69.9022,3906416.221,3274936.597,764813.9375,36,1,219.9698352,220,0.030164832,1.030164832
CP0481,219.9609365,219.9607705,219.9613529,65.2737,61.3726,69.9022,1400583.065,1257271.451,357591.3438,25,1,219.9750149,220,0.024985103,1.024985103
CP1185,219.9890751,219.9888901,219.9895169,207.967,205.646,209.823,208086.9823,208083.7335,118489.5,118488,1,220.0031553,220,-0.003155311,0.996844689
CP1995,220.0247918,220.0247869,220.0248002,256.608,254.757,258.459,123546.62,122665.8613,76307.40625,18,1,220.0388743,220,-0.038874282,0.961125718
CP5095,220.1419373,220.1418991,220.1423963,567.027,565.324,568.738,794120.4947,787948.7085,465827.0938,34,1,220.1560273,220,-0.156027327,0.843972673
CP4372,220.141977,220.1418809,220.142384,519.939,517.248,522.169,672855.5595,667134.9756,275593,38,1,220.156067,220,-0.156066982,0.843933018
CP3142,220.1465382,220.1462858,220.1468119,353.004,348.372,357.634,5739400.921,5376982.29,1550575.875,65,1,220.1606285,220,-0.16062848,0.83937152
CP1297,220.9544951,220.9544365,220.9545837,201.939,184.792,215.389,9183562.888,7756881.76,651711.875,31,1,220.9686371,221,0.031362924,1.031362924
CP0405,220.9597461,220.9591486,220.9602529,63.8987,61.3726,68.9751,2110519.644,1931065.294,702859.6875,39,1,220.9738884,221,0.026111568,1.026111568
CP2021,221.0185478,221.0184601,221.0185882,257.07,254.757,258.923,354822.4963,354818.7932,166065.6563,166065,1,221.0326938,221,-0.032693844,0.967306156
CP1581,221.0244848,221.0244424,221.0245107,77.8023,71.2956,82.4507,42646084.07,41770825.5,4520587.5,159,1,221.0386313,221,-0.038631281,0.961368719
CP1579,221.0244861,221.0244575,221.0245705,135.551,131.368,140.659,26052443.47,25317615.14,3170152.5,111,1,221.0386326,221,-0.038632573,0.961367427
CP1580,221.0244882,221.0244419,221.0245226,104.808,99.6731,110.401,24890222.21,24047018.99,2586300.25,90,1,221.0386347,221,-0.038634672,0.961365328
CP1578,221.0244973,221.0244642,221.024539,66.6573,62.0773,71.2956,35657143.05,34952999.83,9102530,323,1,221.0386437,221,-0.038643733,0.961356267
CP0473,221.0484385,221.0481364,221.048655,86.6325,84.3072,88.028,94443.38405,94440.12835,40207.30469,40206,1,221.0625865,221,-0.062586533,0.937413467
CP0909,221.0486212,221.0485523,221.0486763,188.951,187.094,193.13,643929.9566,636539.9265,331116.5938,42,1,221.0627692,221,-0.062769192,0.937230808
CP1298,221.0817028,221.0816293,221.0817353,182.934,178.756,187.094,1486899.749,922755.3756,549767.125,15,1,221.0958529,221,-0.095852933,0.904147067
CP2777,221.0817087,221.0816743,221.0817505,239.472,234.839,244.106,3468285.509,2796895.542,842973.8125,22,1,221.0958588,221,-0.09585881,0.90414119
CP2650,221.1181632,221.1177031,221.1183371,314.539,310.835,319.174,1137886.983,697480.0169,325832.0938,15,1,221.1323156,221,-0.132315646,0.867684354
CP2503,221.1182174,221.1178146,221.1183245,288.117,281.629,294.142,1608968.129,926186.9037,301987.6563,10,1,221.1323699,221,-0.132369902,0.867630098
CP2915,221.1503168,221.1503051,221.1503264,353.466,351.614,355.317,407422.8173,407420.04,178641.8281,178641,1,221.1644714,221,-0.164471371,0.835528629
CP8611,221.1542319,221.1541978,221.1542801,663.915,660.598,665.995,27093301.81,26839630.82,6080709.5,121,1,221.1683867,221,-0.16838671,0.83161329
CP8607,221.1542593,221.1542028,221.1542904,656.892,652.753,660.598,37386648.07,37026232.92,6920144,138,1,221.168414,221,-0.168414048,0.831585952
CP8606,221.1542619,221.1542062,221.1543074,604.962,593.885,612.576,66205251.98,65370944.64,4592122,91,1,221.1684166,221,-0.168416638,0.831583362
CP8610,221.154266,221.1542182,221.1543025,679.388,675.581,687.689,29944647.36,29397321.38,3817393,72,1,221.1684208,221,-0.16842079,0.83157921
CP8599,221.1542665,221.1542536,221.1542998,353.004,347.908,357.634,21071527.86,20626823.54,4785750.5,95,1,221.1684213,221,-0.168421322,0.831578678
CP8601,221.1542669,221.1541363,221.154705,552.031,547.806,556.386,37273428.82,36878151.34,20150684,403,1,221.1684217,221,-0.168421728,0.831578272
CP8604,221.154269,221.1542058,221.1543143,566.6,562.769,570.861,41231601.85,40859839.03,9068252,181,1,221.1684238,221,-0.168423772,0.831576228
CP8608,221.1542712,221.1542237,221.1543635,628.194,624.408,631.979,27669189.22,27320396,4347953.5,86,1,221.168426,221,-0.168426004,0.831573996
